,Codi municipi,Habitants,Municipi,MUNICIPI_CODI,RECOMPTE,Taxa_vacunacio
516,8319936,14906,PALAU-SOLITÀ I PLEGAMANS,9020536.0,14208.0,95.31732188380518
517,43962918,4854,"PALLARESOS, ELS",,,
518,8320548,11633,PALLEJÀ,8311983.0,10965.0,94.25771512077709
519,43961490,676,"PALMA D'EBRE, LA",,,
520,9083916,2994,"PALMA DE CERVELLÓ, LA",,,
521,17466072,896,PALOL DE REVARDIT,3835552.0,410.0,45.75892857142857
522,17466582,2397,PALS,8990100.0,2054.0,85.69044639132248
523,8321160,4176,"PAPIOL, EL",,,
524,17467908,338,PARDINES,,,
525,8322486,19090,PARETS DEL VALLÈS,9089126.0,17927.0,93.9078051335778
526,17469234,782,PARLAVÀ,3459452.0,393.0,50.25575447570333
527,43963632,310,PASSANANT I BELLTALL,,,
528,17471478,1114,PAU,3716776.0,412.0,36.983842010771994
529,43964142,1090,PAÜLS,11249622.0,578.0,53.027522935779814
530,17471784,382,PEDRET I MARZÀ,,,
531,25667382,872,PENELLES,4906980.0,504.0,57.798165137614674
532,17473212,870,"PERA, LA",,,
533,8323914,810,PERAFITA,1509600.0,348.0,42.96296296296296
534,43965774,2528,PERAFORT,13577445.0,986.0,39.00316455696203
535,17475456,3796,PERALADA,7863588.0,1794.0,47.26027397260274
536,25668708,694,PERAMOLA,4504535.0,323.0,46.54178674351585
537,43966284,2828,"PERELLÓ, EL",,,
538,8324628,16150,PIERA,8609855.0,13496.0,83.56656346749226
539,43967610,420,"PILES, LES",,,
540,8326770,28011,PINEDA DE MAR,9632340.0,25055.0,89.44700296312163
541,43968936,2016,"PINELL DE BRAI, EL",,,
542,25670034,386,PINELL DE SOLSONÈS,,,
543,25670646,572,PINÓS,3951219.0,207.0,36.18881118881119
544,43969548,1006,PIRA,9009363.0,457.0,45.42743538767396
545,43970160,2350,"PLA DE SANTA MARIA, EL",,,
546,8327280,2550,"PLA DEL PENEDÈS, EL",,,
547,17476068,3424,"PLANES D'HOSTOLES, LES",,,
548,17477598,608,PLANOLES,2021812.0,241.0,39.63815789473684
549,26430036,982,"PLANS DE SIÓ, ELS",,,
550,25672278,1340,"POAL, EL",,,
551,8328606,2187,"POBLA DE CLARAMUNT, LA",,,
552,25672584,378,"POBLA DE CÉRVOLES, LA",,,
553,8329932,2186,"POBLA DE LILLET, LA",,,
554,43971486,3974,"POBLA DE MAFUMET, LA",,,
555,43972914,634,"POBLA DE MASSALUCA, LA",,,
556,43973628,2886,"POBLA DE MONTORNÈS, LA",,,
557,25674726,3046,"POBLA DE SEGUR, LA",,,
558,43975158,642,POBOLEDA,4699208.0,270.0,42.05607476635514
559,8330544,8512,POLINYÀ,7137958.0,7042.0,82.73026315789474
