Codi	Municipi	BIG	QRA
170708	Fontanilles	30.454	15.824
170715	Fontcoberta	22.761	5.205
80850	Font-rubí	21.542	5.629
250946	Foradada	16.343	4.551
179026	Forallac	23.958	7.263
430614	Forès	16.025	..
170736	Fornells de la Selva	29.540	7.828
170741	Fortià	22.398	5.723
80863	Franqueses del Vallès, les	22.437	5.363
430629	Freginals	14.990	3.955
250962	Fuliola, la	16.983	4.564
250978	Fulleda	13.676	4.172
80902	Gaià	21.890	5.632
430635	Galera, la	12.845	3.971
80879	Gallifa	24.139	8.237
430640	Gandesa	16.629	4.342
430653	Garcia	17.180	4.270
430666	Garidells, els	19.249	4.509
80885	Garriga, la	25.969	7.347
170754	Garrigàs	22.057	5.484
170767	Garrigoles	28.897	8.668
170773	Garriguella	20.544	5.403
80898	Gavà	25.177	6.820
250984	Gavet de la Conca	13.284	4.208
80919	Gelida	24.183	5.744
170789	Ger	22.393	6.992
259123	Gimenells i el Pla de la Font	19.300	5.094
430672	Ginestar	15.443	3.767
170792	Girona	25.890	7.019
80924	Gironella	18.165	4.419
80930	Gisclareny	24.216	6.242
430688	Godall	12.356	4.450
250997	Golmés	20.817	5.319
170806	Gombrèn	24.975	6.464
251001	Gósol	20.336	5.712
80945	Granada, la	22.230	5.596
251018	Granadella, la	14.580	3.693
80958	Granera	21.853	5.066
251023	Granja d'Escarp, la	14.760	3.773
80961	Granollers	23.648	6.125
251039	Granyanella	17.216	4.235
251057	Granyena de les Garrigues	12.092	4.111
251044	Granyena de Segarra	16.379	3.973
430691	Gratallops	16.383	5.478
80977	Gualba	25.286	5.864
170813	Gualta	19.111	4.936
80996	Guardiola de Berguedà	18.893	4.505
430705	Guiamets, els	16.610	4.784
170828	Guils de Cerdanya	24.604	6.919
251095	Guimerà	12.858	3.484
259031	Guingueta d'Àneu, la	19.171	5.546
251109	Guissona	19.743	4.215
251116	Guixers	15.722	4.329
81000	Gurb	28.508	8.737
430712	Horta de Sant Joan	14.402	3.932
81017	Hospitalet de Llobregat, l'	19.786	4.648
81629	Hostalets de Pierola, els	22.794	5.490
170834	Hostalric	19.436	4.281
81022	Igualada	22.754	6.107
251155	Isona i Conca Dellà	14.434	3.780
170849	Isòvol	26.287	8.314
251137	Ivars d'Urgell	17.535	4.342
251121	Ivars de Noguera	14.836	3.748
251142	Ivorra	18.162	4.575
170852	Jafre	22.784	6.072
170865	Jonquera, la	28.269	11.863
81038	Jorba	23.443	6.296
259101	Josa i Tuixén	12.061	3.365
170871	Juià	22.377	4.743
251180	Juncosa	13.700	3.074
251193	Juneda	18.596	4.611
251214	Les	23.928	8.075
251229	Linyola	17.089	3.962
81043	Llacuna, la	20.642	5.225
170887	Lladó	20.992	4.537
251235	Lladorre	17.019	3.822
251240	Lladurs	14.635	3.303
81056	Llagosta, la	19.181	4.126
170890	Llagostera	19.610	4.560
170904	Llambilles	29.909	8.615
170911	Llanars	21.239	6.003
170926	Llançà	19.564	4.721
251253	Llardecans	16.004	3.963
251266	Llavorsí	17.264	4.554
251207	Lleida	22.124	6.050
170932	Llers	20.286	6.000
251272	Lles de Cerdanya	15.251	3.879
81075	Lliçà d'Amunt	23.115	5.504
81081	Lliçà de Vall	24.143	6.024
251288	Llimiana	11.647	3.309
81069	Llinars del Vallès	23.639	6.001
170947	Llívia	21.011	6.023
430727	Lloar, el	14.899	5.602
251291	Llobera	14.995	4.131
430733	Llorac	17.354	3.983
430748	Llorenç del Penedès	20.678	4.868
170950	Lloret de Mar	17.918	4.596
170963	Llosses, les	17.758	4.506
81094	Lluçà	18.326	3.803
171024	Maçanet de Cabrenys	20.009	5.186
171030	Maçanet de la Selva	18.819	4.361
170979	Madremanya	22.586	7.405
170985	Maià de Montcal	19.714	4.519
251333	Maials	13.812	3.595
251305	Maldà	15.111	3.039
81108	Malgrat de Mar	18.787	4.419
81115	Malla	25.730	9.534
81120	Manlleu	20.029	4.908
81136	Manresa	22.565	5.633
430764	Marçà	19.371	5.091
430751	Margalef	13.140	3.499
82423	Marganell	20.317	6.297
81141	Martorell	22.636	5.396
81154	Martorelles	22.349	5.814
430770	Mas de Barberans	13.514	4.005
171002	Masarac	19.744	4.360
430786	Masdenverge	16.783	3.836
81167	Masies de Roda, les	23.838	6.593
81173	Masies de Voltregà, les	20.790	4.603
430799	Masllorenç	16.680	3.896
81189	Masnou, el	28.154	8.060
430803	Masó, la	20.542	4.865
430810	Maspujols	21.809	5.004
81192	Masquefa	21.933	4.739
430825	Masroig, el	15.823	5.290
251312	Massalcoreig	12.463	2.734
171019	Massanes	19.141	4.271
251327	Massoteres	20.984	4.657
81206	Matadepera	48.013	60.222
81213	Mataró	20.561	5.259
81228	Mediona	20.339	5.062
251348	Menàrguens	15.857	3.921
170998	Meranges	17.098	3.927
171058	Mieres	20.967	5.581
430831	Milà, el	16.298	4.173
251351	Miralcamp	18.584	4.521
430846	Miravet	16.931	5.322
81385	Moià	21.361	5.490
430859	Molar, el	13.998	3.385
81234	Molins de Rei	26.161	6.773
251370	Mollerussa	19.787	5.444
171061	Mollet de Peralada	19.813	4.875
81249	Mollet del Vallès	21.607	4.853
171077	Molló	20.983	5.988
251364	Molsosa, la	14.712	3.755
81287	Monistrol de Calders	18.255	4.062
81271	Monistrol de Montserrat	20.413	4.364
171096	Montagut i Oix	20.369	5.957
430862	Montblanc	20.995	4.869
430884	Montbrió del Camp	19.711	4.803
81252	Montcada i Reixac	21.717	5.038
81304	Montclar	14.260	3.234
251399	Montellà i Martinet	19.780	5.625
81311	Montesquiu	18.121	3.995
251403	Montferrer i Castellbò	20.369	5.447
430897	Montferri	17.033	3.998
251386	Montgai	15.411	4.472
81265	Montgat	25.725	6.825
81326	Montmajor	17.609	5.552
81332	Montmaneu	20.295	7.185
430901	Montmell, el	16.884	3.406
81350	Montmeló	21.841	4.806
251425	Montoliu de Lleida	16.623	4.297
251410	Montoliu de Segarra	16.571	3.947
251431	Montornès de Segarra	17.412	5.686
81363	Montornès del Vallès	21.292	4.764
430918	Mont-ral	19.852	6.427
171100	Mont-ras	21.069	5.656
430923	Mont-roig del Camp	13.103	5.349
81379	Montseny	20.102	6.141
430939	Móra d'Ebre	23.263	6.690
430944	Móra la Nova	19.946	5.024
